id,kode_provinsi,nama_provinsi,indeks_pembangunan_manusia,satuan,tahun
110,18,LAMPUNG,65.73,POIN,2013
111,19,KEPULAUAN BANGKA BELITUNG,67.92,POIN,2013
112,21,KEPULAUAN RIAU,73.02,POIN,2013
113,31,DKI JAKARTA,78.08,POIN,2013
114,32,JAWA BARAT,68.25,POIN,2013
115,33,JAWA TENGAH,68.02,POIN,2013
116,34,DI YOGYAKARTA,76.44,POIN,2013
117,35,JAWA TIMUR,67.55,POIN,2013
118,36,BANTEN,69.47,POIN,2013
119,51,BALI,72.09,POIN,2013
120,52,NUSA TENGGARA BARAT,63.76,POIN,2013
121,53,NUSA TENGGARA TIMUR,61.68,POIN,2013
122,61,KALIMANTAN BARAT,64.3,POIN,2013
123,62,KALIMANTAN TENGAH,67.41,POIN,2013
124,63,KALIMANTAN SELATAN,67.17,POIN,2013
125,64,KALIMANTAN TIMUR,73.21,POIN,2013
126,65,KALIMANTAN UTARA,67.99,POIN,2013
127,71,SULAWESI UTARA,69.49,POIN,2013
128,72,SULAWESI TENGAH,65.79,POIN,2013
129,73,SULAWESI SELATAN,67.92,POIN,2013
130,74,SULAWESI TENGGARA,67.55,POIN,2013
131,75,GORONTALO,64.7,POIN,2013
132,76,SULAWESI BARAT,61.53,POIN,2013
133,81,MALUKU,66.09,POIN,2013
134,82,MALUKU UTARA,64.78,POIN,2013
135,91,PAPUA BARAT,60.91,POIN,2013
136,94,PAPUA,56.25,POIN,2013
137,11,ACEH,68.81,POIN,2014
138,12,SUMATERA UTARA,68.87,POIN,2014
139,13,SUMATERA BARAT,69.36,POIN,2014
140,14,RIAU,70.33,POIN,2014
141,15,JAMBI,68.24,POIN,2014
142,16,SUMATERA SELATAN,66.75,POIN,2014
143,17,BENGKULU,68.06,POIN,2014
144,18,LAMPUNG,66.42,POIN,2014
145,19,KEPULAUAN BANGKA BELITUNG,68.27,POIN,2014
146,21,KEPULAUAN RIAU,73.4,POIN,2014
147,31,DKI JAKARTA,78.39,POIN,2014
148,32,JAWA BARAT,68.8,POIN,2014
149,33,JAWA TENGAH,68.78,POIN,2014
150,34,DI YOGYAKARTA,76.81,POIN,2014
151,35,JAWA TIMUR,68.14,POIN,2014
152,36,BANTEN,69.89,POIN,2014
153,51,BALI,72.48,POIN,2014
154,52,NUSA TENGGARA BARAT,64.31,POIN,2014
155,53,NUSA TENGGARA TIMUR,62.26,POIN,2014
156,61,KALIMANTAN BARAT,64.89,POIN,2014
157,62,KALIMANTAN TENGAH,67.77,POIN,2014
158,63,KALIMANTAN SELATAN,67.63,POIN,2014
159,64,KALIMANTAN TIMUR,73.82,POIN,2014
160,65,KALIMANTAN UTARA,68.64,POIN,2014
161,71,SULAWESI UTARA,69.96,POIN,2014
162,72,SULAWESI TENGAH,66.43,POIN,2014
163,73,SULAWESI SELATAN,68.49,POIN,2014
164,74,SULAWESI TENGGARA,68.07,POIN,2014
165,75,GORONTALO,65.17,POIN,2014
166,76,SULAWESI BARAT,62.24,POIN,2014
167,81,MALUKU,66.74,POIN,2014
168,82,MALUKU UTARA,65.18,POIN,2014
169,91,PAPUA BARAT,61.28,POIN,2014
170,94,PAPUA,56.75,POIN,2014
171,11,ACEH,69.45,POIN,2015
172,12,SUMATERA UTARA,69.51,POIN,2015
173,13,SUMATERA BARAT,69.98,POIN,2015
174,14,RIAU,70.84,POIN,2015
175,15,JAMBI,68.89,POIN,2015
176,16,SUMATERA SELATAN,67.46,POIN,2015
177,17,BENGKULU,68.59,POIN,2015
178,18,LAMPUNG,66.95,POIN,2015
179,19,KEPULAUAN BANGKA BELITUNG,69.05,POIN,2015
180,21,KEPULAUAN RIAU,73.75,POIN,2015
181,31,DKI JAKARTA,78.99,POIN,2015
182,32,JAWA BARAT,69.5,POIN,2015
183,33,JAWA TENGAH,69.49,POIN,2015
184,34,DI YOGYAKARTA,77.59,POIN,2015
185,35,JAWA TIMUR,68.95,POIN,2015
186,36,BANTEN,70.27,POIN,2015
187,51,BALI,73.27,POIN,2015
188,52,NUSA TENGGARA BARAT,65.19,POIN,2015
189,53,NUSA TENGGARA TIMUR,62.67,POIN,2015
190,61,KALIMANTAN BARAT,65.59,POIN,2015
191,62,KALIMANTAN TENGAH,68.53,POIN,2015
192,63,KALIMANTAN SELATAN,68.38,POIN,2015
193,64,KALIMANTAN TIMUR,74.17,POIN,2015
194,65,KALIMANTAN UTARA,68.76,POIN,2015
195,71,SULAWESI UTARA,70.39,POIN,2015
196,72,SULAWESI TENGAH,66.76,POIN,2015
197,73,SULAWESI SELATAN,69.15,POIN,2015
198,74,SULAWESI TENGGARA,68.75,POIN,2015
199,75,GORONTALO,65.86,POIN,2015
200,76,SULAWESI BARAT,62.96,POIN,2015
201,81,MALUKU,67.05,POIN,2015
202,82,MALUKU UTARA,65.91,POIN,2015
203,91,PAPUA BARAT,61.73,POIN,2015
204,94,PAPUA,57.25,POIN,2015
205,11,ACEH,70.0,POIN,2016
206,12,SUMATERA UTARA,70.0,POIN,2016
207,13,SUMATERA BARAT,70.73,POIN,2016
208,14,RIAU,71.2,POIN,2016
209,15,JAMBI,69.62,POIN,2016
210,16,SUMATERA SELATAN,68.24,POIN,2016
211,17,BENGKULU,69.33,POIN,2016
212,18,LAMPUNG,67.65,POIN,2016
213,19,KEPULAUAN BANGKA BELITUNG,69.55,POIN,2016
214,21,KEPULAUAN RIAU,73.99,POIN,2016
215,31,DKI JAKARTA,79.6,POIN,2016
216,32,JAWA BARAT,70.05,POIN,2016
217,33,JAWA TENGAH,69.98,POIN,2016
218,34,DI YOGYAKARTA,78.38,POIN,2016
219,35,JAWA TIMUR,69.74,POIN,2016
220,36,BANTEN,70.96,POIN,2016
221,51,BALI,73.65,POIN,2016
222,52,NUSA TENGGARA BARAT,65.81,POIN,2016
223,53,NUSA TENGGARA TIMUR,63.13,POIN,2016
224,61,KALIMANTAN BARAT,65.88,POIN,2016
225,62,KALIMANTAN TENGAH,69.13,POIN,2016
226,63,KALIMANTAN SELATAN,69.05,POIN,2016
227,64,KALIMANTAN TIMUR,74.59,POIN,2016
228,65,KALIMANTAN UTARA,69.2,POIN,2016
229,71,SULAWESI UTARA,71.05,POIN,2016
230,72,SULAWESI TENGAH,67.47,POIN,2016
231,73,SULAWESI SELATAN,69.76,POIN,2016
232,74,SULAWESI TENGGARA,69.31,POIN,2016
233,75,GORONTALO,66.29,POIN,2016
234,76,SULAWESI BARAT,63.6,POIN,2016
235,81,MALUKU,67.6,POIN,2016
236,82,MALUKU UTARA,66.63,POIN,2016
237,91,PAPUA BARAT,62.21,POIN,2016
238,94,PAPUA,58.05,POIN,2016
239,11,ACEH,70.6,POIN,2017
240,12,SUMATERA UTARA,70.57,POIN,2017
241,13,SUMATERA BARAT,71.24,POIN,2017
242,14,RIAU,71.79,POIN,2017
243,15,JAMBI,69.99,POIN,2017
244,16,SUMATERA SELATAN,68.86,POIN,2017
245,17,BENGKULU,69.95,POIN,2017
246,18,LAMPUNG,68.25,POIN,2017
247,19,KEPULAUAN BANGKA BELITUNG,69.99,POIN,2017
248,21,KEPULAUAN RIAU,74.45,POIN,2017
249,31,DKI JAKARTA,80.06,POIN,2017
250,32,JAWA BARAT,70.69,POIN,2017
251,33,JAWA TENGAH,70.52,POIN,2017
252,34,DI YOGYAKARTA,78.89,POIN,2017
253,35,JAWA TIMUR,70.27,POIN,2017
254,36,BANTEN,71.42,POIN,2017
255,51,BALI,74.3,POIN,2017
256,52,NUSA TENGGARA BARAT,66.58,POIN,2017
257,53,NUSA TENGGARA TIMUR,63.73,POIN,2017
258,61,KALIMANTAN BARAT,66.26,POIN,2017
259,62,KALIMANTAN TENGAH,69.79,POIN,2017
260,63,KALIMANTAN SELATAN,69.65,POIN,2017
261,64,KALIMANTAN TIMUR,75.12,POIN,2017
262,65,KALIMANTAN UTARA,69.84,POIN,2017
263,71,SULAWESI UTARA,71.66,POIN,2017
264,72,SULAWESI TENGAH,68.11,POIN,2017
265,73,SULAWESI SELATAN,70.34,POIN,2017
266,74,SULAWESI TENGGARA,69.86,POIN,2017
267,75,GORONTALO,67.01,POIN,2017
268,76,SULAWESI BARAT,64.3,POIN,2017
269,81,MALUKU,68.19,POIN,2017
270,82,MALUKU UTARA,67.2,POIN,2017
271,91,PAPUA BARAT,62.99,POIN,2017
272,94,PAPUA,59.09,POIN,2017
273,11,ACEH,71.19,POIN,2018
274,12,SUMATERA UTARA,71.18,POIN,2018
275,13,SUMATERA BARAT,71.73,POIN,2018
276,14,RIAU,72.44,POIN,2018
277,15,JAMBI,70.65,POIN,2018
278,16,SUMATERA SELATAN,69.39,POIN,2018
279,17,BENGKULU,70.64,POIN,2018
280,18,LAMPUNG,69.02,POIN,2018
281,19,KEPULAUAN BANGKA BELITUNG,70.67,POIN,2018
282,21,KEPULAUAN RIAU,74.84,POIN,2018
283,31,DKI JAKARTA,80.47,POIN,2018
284,32,JAWA BARAT,71.3,POIN,2018
285,33,JAWA TENGAH,71.12,POIN,2018
286,34,DI YOGYAKARTA,79.53,POIN,2018
287,35,JAWA TIMUR,70.77,POIN,2018
288,36,BANTEN,71.95,POIN,2018
289,51,BALI,74.77,POIN,2018
290,52,NUSA TENGGARA BARAT,67.3,POIN,2018
291,53,NUSA TENGGARA TIMUR,64.39,POIN,2018
292,61,KALIMANTAN BARAT,66.98,POIN,2018
293,62,KALIMANTAN TENGAH,70.42,POIN,2018
294,63,KALIMANTAN SELATAN,70.17,POIN,2018
295,64,KALIMANTAN TIMUR,75.83,POIN,2018
296,65,KALIMANTAN UTARA,70.56,POIN,2018
297,71,SULAWESI UTARA,72.2,POIN,2018
298,72,SULAWESI TENGAH,68.88,POIN,2018
299,73,SULAWESI SELATAN,70.9,POIN,2018
300,74,SULAWESI TENGGARA,70.61,POIN,2018
301,75,GORONTALO,67.71,POIN,2018
302,76,SULAWESI BARAT,65.1,POIN,2018
303,81,MALUKU,68.87,POIN,2018
304,82,MALUKU UTARA,67.76,POIN,2018
305,91,PAPUA BARAT,63.74,POIN,2018
306,94,PAPUA,60.06,POIN,2018
307,11,ACEH,71.9,POIN,2019
308,12,SUMATERA UTARA,71.74,POIN,2019
309,13,SUMATERA BARAT,72.39,POIN,2019
310,14,RIAU,73.0,POIN,2019
311,15,JAMBI,71.26,POIN,2019
312,16,SUMATERA SELATAN,70.02,POIN,2019
313,17,BENGKULU,71.21,POIN,2019
314,18,LAMPUNG,69.57,POIN,2019
315,19,KEPULAUAN BANGKA BELITUNG,71.3,POIN,2019
316,21,KEPULAUAN RIAU,75.48,POIN,2019
317,31,DKI JAKARTA,80.76,POIN,2019
318,32,JAWA BARAT,72.03,POIN,2019
319,33,JAWA TENGAH,71.73,POIN,2019
320,34,DI YOGYAKARTA,79.99,POIN,2019
321,35,JAWA TIMUR,71.5,POIN,2019
322,36,BANTEN,72.44,POIN,2019
323,51,BALI,75.38,POIN,2019
324,52,NUSA TENGGARA BARAT,68.14,POIN,2019
325,53,NUSA TENGGARA TIMUR,65.23,POIN,2019
326,61,KALIMANTAN BARAT,67.65,POIN,2019
327,62,KALIMANTAN TENGAH,70.91,POIN,2019
328,63,KALIMANTAN SELATAN,70.72,POIN,2019
329,64,KALIMANTAN TIMUR,76.61,POIN,2019
330,65,KALIMANTAN UTARA,71.15,POIN,2019
331,71,SULAWESI UTARA,72.99,POIN,2019
332,72,SULAWESI TENGAH,69.5,POIN,2019
333,73,SULAWESI SELATAN,71.66,POIN,2019
334,74,SULAWESI TENGGARA,71.2,POIN,2019
335,75,GORONTALO,68.49,POIN,2019
336,76,SULAWESI BARAT,65.73,POIN,2019
337,81,MALUKU,69.45,POIN,2019
338,82,MALUKU UTARA,68.7,POIN,2019
339,91,PAPUA BARAT,64.7,POIN,2019
340,94,PAPUA,60.84,POIN,2019
341,11,ACEH,71.99,POIN,2020
342,12,SUMATERA UTARA,71.77,POIN,2020
343,13,SUMATERA BARAT,72.38,POIN,2020
344,14,RIAU,72.71,POIN,2020
345,15,JAMBI,71.29,POIN,2020
346,16,SUMATERA SELATAN,70.01,POIN,2020
347,17,BENGKULU,71.4,POIN,2020
348,18,LAMPUNG,69.69,POIN,2020
349,19,KEPULAUAN BANGKA BELITUNG,71.47,POIN,2020
350,21,KEPULAUAN RIAU,75.59,POIN,2020
351,31,DKI JAKARTA,80.77,POIN,2020
352,32,JAWA BARAT,72.09,POIN,2020
353,33,JAWA TENGAH,71.87,POIN,2020
354,34,DI YOGYAKARTA,79.97,POIN,2020
355,35,JAWA TIMUR,71.71,POIN,2020
356,36,BANTEN,72.45,POIN,2020
357,51,BALI,75.5,POIN,2020
358,52,NUSA TENGGARA BARAT,68.25,POIN,2020
